id,source_file,content,embedding
BAZNAS_1,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"Menimbang : a. bahwa untuk meningkatkan efektivitas dan produktivitas pengelolaan zakat di Badan Amil Zakat Nasional provinsi dan Badan Amil Zakat Nasional kabupaten/kota, perlu diatur tugas dan wewenang masing-masing pimpinan; b. bahwa berdasarkan pertimbangan sebagaimana dimaksud dalam huruf a, perlu menetapkan Peraturan Badan Amil Zakat Nasional tentang Tugas dan Wewenang Pimpinan Badan Amil Zakat Nasional Provinsi dan Pimpinan Badan Amil Zakat Nasional Kabupaten/Kota; Mengingat : 1. Undang-Undang Nomor 23 Tahun 2011 tentang Pengelolaan Zakat (Lembaran Negara Republik Indonesia Tahun 2011 Nomor 115, Tambahan Lembaran Negara Republik Indonesia Nomor 5255); 2. Peraturan Pemerintah Nomor 14 Tahun 2014 tentang Pelaksanaan Undang-Undang Nomor 23 Tahun 2011 tentang Pengelolaan Zakat (Lembaran Negara Republik Indonesia Tahun 2014 Nomor 38, Tambahan Lembaran Negara Republik Indonesia Nomor 5508); 3. Peraturan Menteri Agama Nomor 30 Tahun 2016 tentang Tugas, Fungsi, dan Tata Kerja Anggota Badan Amil Zakat Nasional (Berita Negara Republik Indonesia Tahun 2016 Nomor 1317); MEMUTUSKAN: Menetapkan : PERATURAN BADAN AMIL ZAKAT NASIONAL TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA.",
BAZNAS_2,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"BAB I KETENTUAN UMUM Pasal 1 Dalam Peraturan Badan ini yang dimaksud dengan: 1. Zakat adalah harta yang wajib dikeluarkan oleh seorang muslim atau badan usaha untuk diberikan kepada yang berhak menerimanya sesuai dengan syariat Islam. 2. Pengelolaan Zakat adalah kegiatan perencanaan, pelaksanaan, dan pengoordinasian dalam pengumpulan, pendistribusian, dan pendayagunaan Zakat. 3. Muzaki adalah seorang muslim atau badan usaha yang berkewajiban menunaikan Zakat. 4. Mustahik adalah orang yang berhak menerima Zakat. 5. Badan Amil Zakat Nasional yang selanjutnya disebut BAZNAS adalah lembaga yang melakukan pengelolaan Zakat secara nasional. 6. Badan Amil Zakat Nasional Provinsi yang selanjutnya disebut BAZNAS Provinsi adalah lembaga yang melaksanakan tugas dan fungsi BAZNAS di tingkat provinsi. 7. Badan Amil Zakat Nasional Kabupaten/Kota yang selanjutnya disebut BAZNAS Kabupaten/Kota adalah lembaga yang melaksanakan tugas dan fungsi BAZNAS di tingkat kabupaten/kota. 8. Lembaga Amil Zakat yang selanjutnya disingkat LAZ adalah lembaga yang dibentuk masyarakat yang memiliki tugas membantu pengumpulan, pendistribusian, dan pendayagunaan Zakat. 9. Unit Pengumpul Zakat yang selanjutnya disingkat UPZ adalah satuan organisasi yang dibentuk oleh BAZNAS untuk membantu pengumpulan zakat. 10. Amil Zakat adalah seseorang atau sekelompok orang yang diangkat dan/atau diberi kewenangan oleh pemerintah, pemerintah daerah, badan, lembaga yang diberikan izin oleh pemerintah dan/atau pemerintah daerah, dan/atau seseorang yang mendapat mandat dari pimpinan Pengelola Zakat untuk mengelola Zakat. 11. Rapat Pleno adalah forum pengambilan keputusan tertinggi dalam organisasi BAZNAS Provinsi dan BAZNAS Kabupaten/Kota.",
BAZNAS_3,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"BAB II ORGANISASI Pasal 2 (1) BAZNAS merupakan lembaga yang berwenang melakukan tugas pengelolaan zakat secara nasional. (2) Dalam melaksanakan tugas sebagaimana dimaksud pada ayat (1) BAZNAS menyelenggarakan fungsi: a. perencanaan pengumpulan, pendistribusian, dan pendayagunaan Zakat; b. pelaksanaan pengumpulan, pendistribusian, dan pendayagunaan Zakat; c. pengendalian pengumpulan, pendistribusian, dan pendayagunaan Zakat; dan d. pelaporan dan pertanggungjawaban pelaksanaan pengelolaan Zakat. (3) BAZNAS Provinsi dan BAZNAS Kabupaten/Kota melaksanakan tugas dan fungsi BAZNAS sebagaimana dimaksud pada ayat (1) dan ayat (2) di provinsi atau kabupaten/kota masing-masing. Pasal 3 (1) BAZNAS Provinsi dan BAZNAS Kabupaten/Kota sebagaimana dimaksud dalam Pasal 2 ayat (3) terdiri atas unsur pimpinan dan pelaksana. (2) Pimpinan sebagaimana dimaksud pada ayat (1) berasal dari unsur masyarakat yang meliputi ulama, tenaga profesional, dan tokoh masyarakat Islam. Pasal 4 Unsur pimpinan sebagaimana dimaksud dalam Pasal 3 ayat (1) terdiri atas: a. Ketua; b. Wakil Ketua I; c. Wakil Ketua II; d. Wakil Ketua III; dan e. Wakil Ketua IV.",
BAZNAS_4,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"BAB III TUGAS DAN WEWENANG Pasal 5 Ketua sebagaimana dimaksud dalam Pasal 4 huruf a mempunyai tugas melaksanakan mandat Rapat Pleno untuk memimpin pelaksanaan tugas dan fungsi BAZNAS Provinsi atau BAZNAS Kabupaten/Kota. Pasal 6 (1) Wakil Ketua I sebagaimana dimaksud dalam Pasal 4 huruf b mempunyai tugas melaksanakan pengelolaan pengumpulan zakat. (2) Dalam melaksanakan tugas sebagaimana dimaksud pada ayat (1), Wakil Ketua I berwenang: a. menyusun strategi pengumpulan Zakat; b. mengelola dan mengembangkan data Muzaki; c. melaksanakan edukasi dan sosialisasi pengumpulan Zakat; d. mengembangkan jaringan guna meningkatkan jumlah pengumpulan; e. melaksanakan pengendalian pengumpulan Zakat; f. melaksanakan pengelolaan layanan Muzaki; g. melakukan evaluasi dalam pengelolaan pengumpulan Zakat; h. menyusun laporan dan pertanggungjawaban pengumpulan Zakat; i. melakukan koordinasi dalam pelaksanaan pengumpulan zakat di tingkat provinsi dan/atau kabupaten/kota; j. melaksanakan administrasi dan tata usaha pada bidang pengumpulan; dan k. melaksanakan tugas kedinasan lain sesuai dengan kebijakan Rapat Pleno. Pasal 7 (1) Wakil Ketua II sebagaimana dimaksud dalam Pasal 4 huruf c mempunyai tugas melaksanakan pengelolaan pendistribusian dan pendayagunaan Zakat. (2) Dalam melaksanakan tugas sebagaimana dimaksud pada ayat (1), Wakil Ketua II berwenang: a. menyusun strategi pendistribusian dan pendayagunaan Zakat; b. mengelola dan mengembangkan data Mustahik; c. melaksanakan dan melakukan pengendalian pendistribusian dan pendayagunaan Zakat; d. melakukan evaluasi dalam pengelolaan pendistribusian dan pendayagunaan Zakat; e. menyusun laporan dan pertanggungjawaban pendistribusian dan pendayagunaan Zakat; f. melakukan koordinasi dalam pelaksanaan pendistribusian dan pendayagunaan Zakat; g. melaksanakan administrasi dan tata usaha pada bidang pendistribusian dan pendayagunaan; dan h. melaksanakan tugas kedinasan lain sesuai dengan keputusan Rapat Pleno. Pasal 8 (1) Wakil Ketua III sebagaimana dimaksud dalam Pasal 4 huruf d mempunyai tugas melaksanakan pengelolaan perencanaan, keuangan, dan pelaporan. (2) Dalam melaksanakan tugas sebagaimana dimaksud pada ayat (1), Wakil Ketua III berwenang: a. melaksanakan penyiapan penyusunan rencana strategis Pengelolaan Zakat; b. menyusun rencana kerja dan anggaran tahunan; c. melakukan evaluasi tahunan dan 5 (lima) tahunan terhadap rencana Pengelolaan Zakat; d. melaksanakan pengelolaan keuangan; e. melaksanakan sistem akuntansi Zakat; f. menyusun laporan keuangan dan laporan akuntabilitas kinerja; g. melaksanakan administrasi dan tata usaha pada bagian perencanaan, keuangan, dan pelaporan; dan h. melaksanakan tugas kedinasan lain sesuai dengan keputusan Rapat Pleno. Pasal 9 (1) Wakil Ketua IV sebagaimana dimaksud dalam Pasal 4 huruf e mempunyai tugas melaksanakan pengelolaan sumber daya Amil Zakat, administrasi perkantoran, komunikasi, umum, dan pemberian rekomendasi. (2) Dalam melaksanakan tugas sebagaimana dimaksud pada ayat (1), Wakil Ketua IV berwenang: a. menyusun strategi pengelolaan Amil Zakat; b. menyusun strategi peningkatan kualitas sumber daya Amil Zakat dan kredibilitas lembaga dengan mendapatkan sertifikasi profesi dari Lembaga Sertifikasi Profesi BAZNAS; c. menyusun perencanaan Amil Zakat; d. melaksanakan pengawasan, pengendalian, dan penilaian terhadap Amil Zakat; e. menyusun rencana strategi komunikasi dan hubungan masyarakat; f. melakukan pengadaan, pencatatan, pemeliharaan, pengendalian, dan pelaporan aset; g. melaksanakan pemberian rekomendasi pembukaan perwakilan LAZ berskala nasional di provinsi atau pembukaan perwakilan LAZ berskala provinsi di kabupaten/kota; h. melaksanakan administrasi dan tata usaha pada bagian administrasi, sumber daya manusia, dan umum; dan i. melaksanakan tugas kedinasan lain sesuai dengan keputusan Rapat Pleno. Pasal 10 Dalam hal jumlah Wakil Ketua kurang dari jumlah sebagaimana yang diatur dalam Peraturan Badan ini, Wakil Ketua dapat merangkap tugas dan wewenang yang lowong setelah mendapat persetujuan Rapat Pleno.",
BAZNAS_5,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"BAB IV RAPAT PLENO Pasal 11 (1) Dalam melaksanakan tugas dan wewenangnya, Ketua, Wakil Ketua I, Wakil Ketua II, Wakil Ketua III, dan Wakil Ketua IV bertanggung jawab kepada Rapat Pleno. (2) Rapat Pleno sebagaimana dimaksud pada ayat (1) dinyatakan sah apabila dihadiri paling sedikit 50% (lima puluh per seratus) dan 1 (satu) orang Pimpinan BAZNAS Provinsi atau BAZNAS Kabupaten/Kota. (3) Rapat Pleno dipimpin oleh Ketua. (4) Dalam hal Ketua sebagaimana dimaksud pada ayat (3) berhalangan hadir, Rapat Pleno dipimpin oleh Wakil Ketua yang ditunjuk oleh peserta yang hadir. (5) Setiap pengambilan keputusan Rapat Pleno dilakukan secara musyawarah. (6) Dalam hal musyawarah sebagaimana dimaksud pada ayat (5) tidak mencapai mufakat, keputusan Rapat Pleno dilakukan dengan cara pengambilan suara terbanyak. Pasal 12 Rapat Pleno dilaksanakan paling sedikit 1 (satu) kali dalam 1 (satu) minggu.",
BAZNAS_6,PERATURAN BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA NOMOR 2 TAHUN 2019 TENTANG TUGAS DAN WEWENANG PIMPINAN BADAN AMIL ZAKAT NASIONAL PROVINSI DAN PIMPINAN BADAN AMIL ZAKAT NASIONAL KABUPATEN/KOTA,"BAB V KETENTUAN PENUTUP Pasal 13 Peraturan Badan ini mulai berlaku pada tanggal diundangkan. Agar setiap orang mengetahuinya, memerintahkan pengundangan Peraturan Badan ini dengan penempatannya dalam Berita Negara Republik Indonesia. Ditetapkan di Jakarta pada tanggal 12 Februari 2019 KETUA BADAN AMIL ZAKAT NASIONAL REPUBLIK INDONESIA, ttd. BAMBANG SUDIBYO Diundangkan di Jakarta pada tanggal 28 Februari 2019 DIREKTUR JENDERAL PERATURAN PERUNDANG-UNDANGAN KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA REPUBLIK INDONESIA, ttd. WIDODO EKATJAHJANA BERITA NEGARA REPUBLIK INDONESIA TAHUN 2019 NOMOR 226 Salinan sesuai dengan aslinya BADAN AMIL ZAKAT NASIONAL Kepala Divisi Hukum dan Kelembagaan Ahmad Hambali",
BAZNAS_7,SURAT EDARAN KETUA BADAN AMIL ZAKAT NASIONAL NOMOR 3 TAHUN 2023 TENTANG PERAN AKTIF DALAM PEMBANGUNAN NASIONAL,"Dasar Hukum 1. Undang-Undang Nomor 25 Tahun 2004 tentang Sistem Perencanaan Pembangunan Nasional. Pasal 3 Ayat (2) menyatakan ""Perencanaan Pembangunan Nasional terdiri atas perencanaan pembangunan yang disusun secara terpadu oleh Kementerian/Lembaga dan perencanaan pembangunan oleh Pemerintah Daerah sesuai dengan kewenangannya.""",
BAZNAS_8,SURAT EDARAN KETUA BADAN AMIL ZAKAT NASIONAL NOMOR 3 TAHUN 2023 TENTANG PERAN AKTIF DALAM PEMBANGUNAN NASIONAL,"Dasar Hukum 2. Peraturan Pemerintah Nomor 40 Tahun 2006 tentang Tata Cara Penyusunan Rencana Pembangunan Nasional sebagaimana telah dicabut sebagian dengan Peraturan Pemerintah Nomor 17 Tahun 2017 tentang Sinkronisasi Proses Perencanaan Dan Penganggaran Pembangunan Nasional. a. Pasal 12 ayat (1) (PP 40/2006) menyatakan ""Pimpinan Kementerian/Lembaga melaksanakan penyiapan Rancangan Renstra-KL periode berikutnya untuk sektor yang menjadi tugas dan kewenangannya pada tahun terakhir pelaksanaan RPJM Nasional yang sedang berjalan, diawali dengan penyusunan rancangan rencana pembangunan secara teknokratik di sektornya."" b. Pasal 12 ayat (1) (PP 40/2006) menyatakan ""Pimpinan Kementerian/Lembaga menyusun Rancangan Renstra-KL yang memuat visi, misi, tujuan, strategi, kebijakan, serta program dan kegiatan pokok sesuai dengan tugas dan fungsi kementerian/lembaga dengan berpedoman pada Rancangan Awal RPJM Nasional"" c. Pasal 6 (PP 17/2017) yang menyatakan ""Perencanaan dan penganggaran pembangunan nasional dilakukan berdasarkan tahapan: a. penyusunan tema, Sasaran, Arah Kebijakan, dan Prioritas Pembangunan; b. tinjau ulang (review) angka dasar kementerian/lembaga; c. penyusunan kerangka ekonomi makro dan pokok pokok kebijakan fiskal serta ketersediaan anggaran; d. penyiapan rancangan awal RKP; e. penyusunan pagu indikatif; f. koordinasi penyusunan rancangan awal RKP; g. penetapan rancangan awal RKP dan pagu indikatif kementerian/lembaga; h. penyusunan Renja K/L; i. pembahasan rancangan RKP, dan pokok-pokok kebijakan pendahuluan; j. penetapan RKP dan pagu lembaga; dan kerangka ekonomi makro, fiskal dalam pembicaraan anggaran kementerian/lembaga; dan k. penyusunan dan penelaahan RKA-K/L.""",
BAZNAS_9,SURAT EDARAN KETUA BADAN AMIL ZAKAT NASIONAL NOMOR 3 TAHUN 2023 TENTANG PERAN AKTIF DALAM PEMBANGUNAN NASIONAL,"Dasar Hukum 3. Peraturan Pemerintah Nomor 8 Tahun 2008 tentang Tahapan, Tata Cara Penyusunan, Pengendalian, dan Evaluasi Pelaksanaan Rencana Pembangunan Daerah. a. Pasal 40 ayat (1) yang menyatakan ""Sistematika penulisan RPJPD, paling sedikit mencakup: a. pendahuluan; b. gambaran umum kondisi daerah; c. analisis isu-isu strategis; d. visi dan misi daerah; e. arah kebijakan; dan f. kaidah pelaksanaan."" b. Pasal 40 ayat (2) yang menyatakan ""Sistematika penulisan RPJMD, paling sedikit mencakup: a. pendahuluan; b. gambaran umum kondisi daerah; c. gambaran pengelolaan keuangan daerah serta kerangka pendanaan; d. analisis isu-isu strategis; e. visi, misi, tujuan dan sasaran; f. strategi dan arah kebijakan; g. kebijakan umum dan program pembangunan daerah; h. indikasi rencana program prioritas yang disertai kebutuhan pendanaan; i. penetapan indikator kinerja daerah; dan j. pedoman transisi dan kaidah pelaksanaan.""",
BAZNAS_10,SURAT EDARAN KETUA BADAN AMIL ZAKAT NASIONAL NOMOR 3 TAHUN 2023 TENTANG PERAN AKTIF DALAM PEMBANGUNAN NASIONAL,"Dasar Hukum 4. Peraturan Menteri Dalam Negeri Nomor 54 Tahun 2010 tentang Pelaksanaan Peraturan Pemerintah Nomor 8 Tahun 2008 tentang Tahapan, Tata Cara Penyusunan, Pengendalian dan Evaluasi Pelaksanaan Rencana Pembangunan Daerah. a. Pasal 35 Ayat (2) yang menyatakan ""Untuk efektivitas pelaksanaan konsultasi sebagaimana dimaksud pada ayat (1), Menteri Dalam Negeri dapat mengundang pejabat kementerian/lembaga dan/atau pemerintahan daerah provinsi yang terkait sesuai dengan kebutuhan."" b. Pasal 119 ayat (3) yang menyatakan ""Program dan kegiatan pembangunan daerah provinsi yang perlu diintegrasikan dengan program dan kegiatan pembangunan yang menjadi kewenangan pemerintah sesuai dengan berita acara kesepakatan musrenbang RKPD provinsi, dikoordinasikan Bappeda provinsi dengan kementerian/lembaga terkait guna dibahas dalam forum musrenbangnas."" Tahapan perencanaan nasional berdasarkan Peraturan Menteri Dalam Negeri Nomor 54 Tahun 2010 tentang Pelaksanaan Peraturan Pemerintah Nomor 8 Tahun 2008 tentang Tahapan, Tata Cara Penyusunan, Pengendalian dan Evaluasi Pelaksanaan Rencana Pembangunan Daerah, sebagai berikut: a. bulan Januari penetapan arah kebijakan dan prioritas; b. bulan Februari penyusunan kerangka ekonomi makro dan perkiraan kapasitas fiskal; c. bulan Maret penyampaian pagu indikatif atau rancangan awal rencana kerja pemerintah; d. bulan April musyawarah perencanaan pembangunan (Musrenbang); e. bulan Mei ditetapkan dalam Peraturan Presiden; dan f. bulan Juni sampai dengan Desember mulai penyusunan sampai penetapan diajukan ditahun berikutnya.",
